====================================================================================================
TimeBound Suite82
plan: stats/run_plan_82.csv
out: outputs/suite82
selected runs: 82
====================================================================================================
A_tb_retrieval_main_semantic | A_main_retrieval | retrieval | timebound_long |  | semantic
A_tb_retrieval_main_recency | A_main_retrieval | retrieval | timebound_long |  | recency
A_tb_retrieval_main_semantic_recency | A_main_retrieval | retrieval | timebound_long |  | semantic_recency
A_tb_retrieval_main_chronological | A_main_retrieval | retrieval | timebound_long |  | chronological
A_tb_retrieval_main_timebound | A_main_retrieval | retrieval | timebound_long |  | timebound
A_tb_retrieval_main_oracle | A_main_retrieval | retrieval | timebound_long |  | oracle
B_score_semantic_only | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_score_temporal_only | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_score_status_only | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_score_semantic_temporal | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_score_semantic_status | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_score_temporal_status | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_score_full_timebound | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_metadata_no_status | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_metadata_no_valid_interval | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_metadata_no_event_time | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_metadata_no_observation_time | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_metadata_no_relation_links | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_metadata_no_query_time | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_metadata_full_metadata | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound_ablation
B_topk_k1 | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound
B_topk_k3 | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound
B_topk_k5 | B_retrieval_ablations | retrieval_ablation | timebound_long |  | timebound
