run_id,block,run_type,dataset_key,dataset_path,retriever,regime,model_key,model_path,ablation_group,components,disabled_metadata,top_k,alpha,beta,gamma,limit,max_new_tokens,note
A_tb_retrieval_main_semantic,A_main_retrieval,retrieval,timebound_long,synthetic/timebound_long.jsonl,semantic,,,,,,,3,0.6,0.3,0.3,,64,Main retrieval-only baseline on TimeBound-Long
A_tb_retrieval_main_recency,A_main_retrieval,retrieval,timebound_long,synthetic/timebound_long.jsonl,recency,,,,,,,3,0.6,0.3,0.3,,64,Main retrieval-only baseline on TimeBound-Long
A_tb_retrieval_main_semantic_recency,A_main_retrieval,retrieval,timebound_long,synthetic/timebound_long.jsonl,semantic_recency,,,,,,,3,0.6,0.3,0.3,,64,Main retrieval-only baseline on TimeBound-Long
A_tb_retrieval_main_chronological,A_main_retrieval,retrieval,timebound_long,synthetic/timebound_long.jsonl,chronological,,,,,,,3,0.6,0.3,0.3,,64,Main retrieval-only baseline on TimeBound-Long
A_tb_retrieval_main_timebound,A_main_retrieval,retrieval,timebound_long,synthetic/timebound_long.jsonl,timebound,,,,,,,3,0.6,0.3,0.3,,64,Main retrieval-only baseline on TimeBound-Long
A_tb_retrieval_main_oracle,A_main_retrieval,retrieval,timebound_long,synthetic/timebound_long.jsonl,oracle,,,,,,,3,0.6,0.3,0.3,,64,Main retrieval-only baseline on TimeBound-Long
B_score_semantic_only,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,score_components,semantic,,3,0.6,0.3,0.3,,64,TimeBound score-component ablation
B_score_temporal_only,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,score_components,temporal,,3,0.6,0.3,0.3,,64,TimeBound score-component ablation
B_score_status_only,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,score_components,status,,3,0.6,0.3,0.3,,64,TimeBound score-component ablation
B_score_semantic_temporal,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,score_components,semantic+temporal,,3,0.6,0.3,0.3,,64,TimeBound score-component ablation
B_score_semantic_status,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,score_components,semantic+status,,3,0.6,0.3,0.3,,64,TimeBound score-component ablation
B_score_temporal_status,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,score_components,temporal+status,,3,0.6,0.3,0.3,,64,TimeBound score-component ablation
B_score_full_timebound,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,score_components,semantic+temporal+status,,3,0.6,0.3,0.3,,64,TimeBound score-component ablation
B_metadata_no_status,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,metadata_removal,semantic+temporal+status,status,3,0.6,0.3,0.3,,64,TimeBound metadata-removal ablation
B_metadata_no_valid_interval,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,metadata_removal,semantic+temporal+status,valid_interval,3,0.6,0.3,0.3,,64,TimeBound metadata-removal ablation
B_metadata_no_event_time,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,metadata_removal,semantic+temporal+status,event_time,3,0.6,0.3,0.3,,64,TimeBound metadata-removal ablation
B_metadata_no_observation_time,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,metadata_removal,semantic+temporal+status,observation_time,3,0.6,0.3,0.3,,64,TimeBound metadata-removal ablation
B_metadata_no_relation_links,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,metadata_removal,semantic+temporal+status,relation_links,3,0.6,0.3,0.3,,64,TimeBound metadata-removal ablation
B_metadata_no_query_time,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,metadata_removal,semantic+temporal+status,query_time,3,0.6,0.3,0.3,,64,TimeBound metadata-removal ablation
B_metadata_full_metadata,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound_ablation,,,,metadata_removal,semantic+temporal+status,,3,0.6,0.3,0.3,,64,TimeBound metadata-removal ablation
B_topk_k1,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound,,,,topk_sensitivity,semantic+temporal+status,,1,0.6,0.3,0.3,,64,Top-k sensitivity for TimeBound retrieval
B_topk_k3,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound,,,,topk_sensitivity,semantic+temporal+status,,3,0.6,0.3,0.3,,64,Top-k sensitivity for TimeBound retrieval
B_topk_k5,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound,,,,topk_sensitivity,semantic+temporal+status,,5,0.6,0.3,0.3,,64,Top-k sensitivity for TimeBound retrieval
B_topk_k7,B_retrieval_ablations,retrieval_ablation,timebound_long,synthetic/timebound_long.jsonl,timebound,,,,topk_sensitivity,semantic+temporal+status,,7,0.6,0.3,0.3,,64,Top-k sensitivity for TimeBound retrieval
C_llm_timebound_qwen25_coder_1p5b_full_history,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,full_history,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_coder_1p5b_semantic_rag,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,semantic_rag,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_coder_1p5b_recency_rag,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,recency_rag,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_coder_1p5b_semantic_recency_rag,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,semantic_recency_rag,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_coder_1p5b_timebound_rag,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,timebound_rag,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_coder_1p5b_oracle_evidence,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,oracle_evidence,qwen25_coder_1p5b,models/Qwen__Qwen2.5-Coder-1.5B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_coder_7b_full_history,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,full_history,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_coder_7b_semantic_rag,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,semantic_rag,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_coder_7b_recency_rag,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,recency_rag,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_coder_7b_semantic_recency_rag,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,semantic_recency_rag,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_coder_7b_timebound_rag,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,timebound_rag,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_coder_7b_oracle_evidence,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,oracle_evidence,qwen25_coder_7b,models/Qwen__Qwen2.5-Coder-7B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_7b_full_history,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,full_history,qwen25_7b,models/Qwen__Qwen2.5-7B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_7b_semantic_rag,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,semantic_rag,qwen25_7b,models/Qwen__Qwen2.5-7B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_7b_recency_rag,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,recency_rag,qwen25_7b,models/Qwen__Qwen2.5-7B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_7b_semantic_recency_rag,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,semantic_recency_rag,qwen25_7b,models/Qwen__Qwen2.5-7B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
C_llm_timebound_qwen25_7b_timebound_rag,C_main_llm_timebound,llm,timebound_long,synthetic/timebound_long.jsonl,,timebound_rag,qwen25_7b,models/Qwen__Qwen2.5-7B-Instruct,,,,3,0.6,0.3,0.3,,64,Main local LLM reader run on TimeBound-Long
