run_id,block,run_type,dataset_key,retriever,regime,model_key,ablation_group,components,disabled_metadata,top_k,alpha,beta,gamma,metric_n,metric_evidence_f1,metric_exact_evidence_hit,metric_invalid_retrieval_rate,metric_exact_accuracy,metric_relaxed_accuracy,metric_contradiction,metric_retrieved_chars,metric_prompt_chars,metric_latency_sec,metric_retrieval_sec,metric_gen_sec
A_tb_retrieval_main_chronological,A_main_retrieval,retrieval,timebound_long,chronological,,,,,,3,0.6,0.3,0.3,1000,0.0,0.0,0.3403333333333333,,,,152.489,,0.0011147112846374512,,
A_tb_retrieval_main_oracle,A_main_retrieval,retrieval,timebound_long,oracle,,,,,,3,0.6,0.3,0.3,1000,1.0,1.0,0.4375,,,,80.601,,4.803895950317383e-06,,
A_tb_retrieval_main_recency,A_main_retrieval,retrieval,timebound_long,recency,,,,,,3,0.6,0.3,0.3,1000,0.0,0.0,0.3296666666666666,,,,153.226,,0.0011173052787780762,,
A_tb_retrieval_main_semantic,A_main_retrieval,retrieval,timebound_long,semantic,,,,,,3,0.6,0.3,0.3,1000,0.5768000000000001,0.0,0.37366666666666665,,,,154.02,,0.0013280758857727051,,
A_tb_retrieval_main_semantic_recency,A_main_retrieval,retrieval,timebound_long,semantic_recency,,,,,,3,0.6,0.3,0.3,1000,0.2538,0.0,0.368,,,,154.678,,0.0011170639991760253,,
A_tb_retrieval_main_timebound,A_main_retrieval,retrieval,timebound_long,timebound,,,,,,3,0.6,0.3,0.3,1000,0.5415,0.0,0.15166666666666664,,,,158.156,,0.0011502814292907715,,
B_metadata_full_metadata,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,metadata_removal,semantic+temporal+status,,3,0.6,0.3,0.3,1000,0.5415,0.0,0.15166666666666664,,,,158.156,,0.0011714851856231688,,
B_metadata_no_event_time,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,metadata_removal,semantic+temporal+status,event_time,3,0.6,0.3,0.3,1000,0.5415,0.0,0.15166666666666664,,,,158.156,,0.0011447789669036866,,
B_metadata_no_observation_time,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,metadata_removal,semantic+temporal+status,observation_time,3,0.6,0.3,0.3,1000,0.5415,0.0,0.15166666666666664,,,,158.156,,0.0009095027446746827,,
B_metadata_no_query_time,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,metadata_removal,semantic+temporal+status,query_time,3,0.6,0.3,0.3,1000,0.4392,0.0,0.049666666666666665,,,,158.168,,0.0007009253501892089,,
B_metadata_no_relation_links,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,metadata_removal,semantic+temporal+status,relation_links,3,0.6,0.3,0.3,1000,0.5415,0.0,0.15166666666666664,,,,158.156,,0.0012003860473632812,,
B_metadata_no_status,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,metadata_removal,semantic+temporal+status,status,3,0.6,0.3,0.3,1000,0.6441,0.0,0.34933333333333333,,,,157.011,,0.0011667048931121827,,
B_metadata_no_valid_interval,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,metadata_removal,semantic+temporal+status,valid_interval,3,0.6,0.3,0.3,1000,0.4392,0.0,0.049666666666666665,,,,158.168,,0.0007052085399627685,,
B_score_full_timebound,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,score_components,semantic+temporal+status,,3,0.6,0.3,0.3,1000,0.5415,0.0,0.15166666666666664,,,,158.156,,0.0011644861698150634,,
B_score_semantic_only,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,score_components,semantic,,3,0.6,0.3,0.3,1000,0.6108000000000001,0.0,0.35933333333333334,,,,155.239,,0.0011527366638183593,,
B_score_semantic_status,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,score_components,semantic+status,,3,0.6,0.3,0.3,1000,0.4392,0.0,0.049666666666666665,,,,158.168,,0.0011530759334564208,,
B_score_semantic_temporal,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,score_components,semantic+temporal,,3,0.6,0.3,0.3,1000,0.6441,0.0,0.34933333333333333,,,,157.011,,0.001161872148513794,,
B_score_status_only,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,score_components,status,,3,0.6,0.3,0.3,1000,0.3362,0.0,0.0,,,,160.195,,0.001155022621154785,,
B_score_temporal_only,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,score_components,temporal,,3,0.6,0.3,0.3,1000,0.5281,0.0,0.3266666666666666,,,,157.899,,0.0011443967819213868,,
B_score_temporal_status,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound_ablation,,,score_components,temporal+status,,3,0.6,0.3,0.3,1000,0.42010000000000003,0.0,0.15466666666666665,,,,159.537,,0.001159585952758789,,
B_topk_k1,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound,,,topk_sensitivity,semantic+temporal+status,,1,0.6,0.3,0.3,1000,0.668,0.346,0.096,,,,58.347,,0.0011527163982391357,,
B_topk_k3,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound,,,topk_sensitivity,semantic+temporal+status,,3,0.6,0.3,0.3,1000,0.5415,0.0,0.15166666666666664,,,,158.156,,0.0011478474140167237,,
B_topk_k5,B_retrieval_ablations,retrieval_ablation,timebound_long,timebound,,,topk_sensitivity,semantic+temporal+status,,5,0.6,0.3,0.3,1000,0.41266666666666674,0.0,0.161,,,,259.437,,0.0011482045650482177,,
